檔案名稱,編號,漢字,拼音,詞性,英文定義
B1-L05.pptx,I-9,最,zuì,Adv,most
B1-L05.pptx,I-10,湯,tāng,N,"soup, broth"
B1-L05.pptx,I-11,這麼,zhème,Adv,so
B1-L05.pptx,I-12,知道,zhīdào,Vst,to know
B1-L05.pptx,I-13,家,jiā,M,"measure word for restaurants, shops, etc."
B1-L05.pptx,I-14,店,diàn,N,"shop, store"
B1-L05.pptx,I-15,一定,yídìng,Adv,"really must, definitely"
B1-L05.pptx,I-16,點,diǎn,V,to order
B1-L05.pptx,I-17,碗,wǎn,M,a bowl of
B1-L05.pptx,I-18,是啊,shìa,,That's right.
B1-L05.pptx,I-19,小籠包,xiǎolóngbāo,,"xiaolongbao, e.g., small meat and cabbage-filled steamed buns"
B1-L05.pptx,I-20,臭豆腐,chòu	dòufǔ,,stinky tofu (fermented tofu)
B1-L05.pptx,I-21,太好了,tài	hǎo	le,,Excellent. Great.
B1-L05.pptx,II-1,昨天,zuótiān,N,yesterday
B1-L05.pptx,II-2,餐廳,cāntīng,N,restaurant
B1-L05.pptx,II-3,可是,kěshì,Conj,"but, however"
B1-L05.pptx,II-4,辣,là,Vs,hot
B1-L05.pptx,II-5,怕,pà,Vst,"to not like, to fear"
B1-L05.pptx,II-6,所以,suǒyǐ,Conj,"therefore, so"
B1-L05.pptx,II-7,自己,zìjǐ,N,self
B1-L05.pptx,II-8,做飯,zuòfàn,,(V-sep) to cook
B1-L05.pptx,II-9,得,,Ptc,de; complement marker
B1-L05.pptx,II-10,會,huì,Vaux,"to be able to, can"
B1-L05.pptx,II-11,甜點,tiándiǎn,N,dessert
B1-L05.pptx,II-12,不錯,búcuò,Vs,not bad
B1-L05.pptx,II-13,可以,kěyǐ,Vaux,could
B1-L05.pptx,II-14,教,jiāo,V,to teach
B1-L05.pptx,II-15,到,dào,Prep,to
B1-L05.pptx,II-16,有一點,yǒu	yì	diǎn,,a little
B1-L05.pptx,II-17,不好,bù	hǎo,,not well
B1-L06.pptx,I-1,他們,tāmen,N,they (used for people only)
B1-L06.pptx,I-2,學校,xuéxiào,N,school
